등록번호,학원명,지역,주소,학년상태,공시학년,과목별학년,이전공개학년,등록근거,보류문구,후기검토단서,기존순위대상,점검일
3000030721,3옥타브장인보컬학원,banpo,서울특별시 서초구 서초대로78길 36,미확인,,"{""arts"": """"}",,[],[],"{""high"": 3, ""middle"": 1}",예,2026-09-19
3000041048,김지은이화무용학원,banpo,서울특별시 서초구 서래로 50,미확인,,"{""arts"": """"}",,[],[],"{""high"": 4, ""middle"": 2}",예,2026-09-19
3000034107,대치명인학원,banpo,서울특별시 서초구 신반포로 205,미확인,,"{""general"": """", ""english"": """"}","중등, 고등",[],[],"{""high"": 12, ""middle"": 7, ""elem_high"": 1}",예,2026-09-19
3000053235,띵킹(Think-Eng)2호점학원,banpo,서울특별시 서초구 고무래로10길 17,미확인,,"{""english"": """"}","초등저학년, 초등고학년",[],[],"{""middle"": 1, ""elem_low"": 4, ""high"": 1}",예,2026-09-19
3000031733,리드윈학원,banpo,서울특별시 서초구 서초대로78길 34,미확인,,"{""general"": """", ""math"": """", ""korean"": """"}",고등,[],[],"{""high"": 10, ""middle"": 4}",예,2026-09-19
13871,반포세정,banpo,서울특별시 서초구 신반포로 165,미확인,,"{""general"": """", ""math"": """", ""english"": """", ""korean"": """", ""science"": """"}","중등, 고등",[],[],"{""high"": 19, ""middle"": 10}",예,2026-09-19
4531,반포시매쓰학원,banpo,서울특별시 서초구 서초중앙로31길 14-13,미확인,,"{""math"": """"}","초등저학년, 초등고학년",[],[],"{""high"": 23, ""elem_low"": 34, ""elem_high"": 5, ""middle"": 6}",예,2026-09-19
3000039593,반포지니국어학원,banpo,서울특별시 서초구 고무래로 6-10,미확인,,"{""korean"": """"}",중등,[],[],"{""elem_high"": 4, ""elem_low"": 3, ""high"": 2, ""middle"": 12}",예,2026-09-19
3000034445,반포필즈수학교습소,banpo,서울특별시 서초구 신반포로 165,미확인,,"{""math"": """"}","초등저학년, 초등고학년",[],[],"{""elem_low"": 18, ""high"": 7, ""middle"": 2, ""elem_high"": 1}",예,2026-09-19
22387,서초소마,banpo,서울특별시 서초구 고무래로 12,미확인,,"{""general"": """", ""math"": """"}","초등저학년, 고등",[],[],"{""high"": 16, ""elem_low"": 11, ""elem_high"": 1}",예,2026-09-19
3000048613,소마사고력수학학원,banpo,서울특별시 서초구 효령로 403,미확인,,"{""math"": """"}","초등저학년, 초등고학년",[],[],"{""middle"": 5, ""high"": 17, ""elem_low"": 115, ""elem_high"": 1}",예,2026-09-19
3000058152,시대인재반포센터수학스쿨별관2학원,banpo,서울특별시 서초구 신반포로 195,미확인,,"{""math"": """"}",고등,[],[],"{""high"": 53, ""middle"": 9}",예,2026-09-19
3000039400,우승희영어학원,banpo,서울특별시 서초구 고무래로8길 8,미확인,,"{""english"": """"}","초등저학년, 초등고학년",[],[],"{""middle"": 22, ""high"": 12, ""elem_high"": 2}",예,2026-09-19
3000046236,융합인재학원,banpo,서울특별시 서초구 사평대로 150,미확인,,"{""general"": """", ""korean"": """", ""science"": """"}",고등,[],[],"{""high"": 8, ""elem_low"": 2, ""middle"": 3}",예,2026-09-19
3000019527,제비울학원,banpo,서울특별시 서초구 잠원로 148,미확인,,"{""etc"": """"}",,[],[],"{""middle"": 2, ""high"": 1, ""elem_low"": 2}",예,2026-09-19
3000019043,줄리아발레아카데미학원,banpo,서울특별시 서초구 고무래로 26,미확인,,"{""arts"": """"}",,[],[],"{""elem_low"": 1}",예,2026-09-19
3000018261,키즈닥터창의성영재학원,banpo,서울특별시 서초구 고무래로10길 10,미확인,,"{""etc"": """"}",초등저학년,[],[],"{""elem_low"": 1, ""middle"": 1}",예,2026-09-19
27803,티아이연기학원,banpo,서울특별시 서초구 나루터로15길 6,미확인,,"{""etc"": """"}",,[],[],"{""high"": 1, ""middle"": 2}",예,2026-09-19
